City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
damara,4.9608,18.7035,70.2,96,100,2.51,CF,1665435542
nizhniye achaluki,43.4028,44.7591,60.4,88,95,11.41,RU,1665435542
patiya,22.2931,91.9762,74.3,96,89,2.68,BD,1665435542
parrita,9.5201,-84.3225,81.05,77,100,4.09,CR,1665435543
maneadero,31.7167,-116.5667,68.11,85,18,3,MX,1665435543
koutiala,12.3917,-5.4642,82.18,56,67,8.43,ML,1665435543
lata,40.1629,-8.3327,63.91,95,50,1.81,PT,1665435544
kudahuvadhoo,2.6708,72.8944,81.21,79,35,20.27,MV,1665435545
falmouth,50.1544,-5.0711,50.9,87,20,4.61,GB,1665435549
mackay,-21.15,149.2,70.68,81,88,16.44,AU,1665435563
lingsugur,16.1667,76.5167,72.77,94,100,8.61,IN,1665435575
kananga,-5.8958,22.4178,73.15,63,48,2.98,CD,1665435577
vostok,46.4856,135.8833,42.71,95,100,2.8,RU,1665435577
biltine,14.5333,20.9167,87.76,21,6,6.02,TD,1665435577
kruisfontein,-34.0033,24.7314,68.88,77,99,5.26,ZA,1665435578
sandnessjoen,66.0217,12.6316,50.41,78,75,24.16,NO,1665435578
werda,-25.2667,23.2833,73.29,13,27,8.66,BW,1665435578
hovd,48.0056,91.6419,37.74,54,69,3.71,MN,1665435578
lokoja,7.8024,6.743,75.61,91,35,2.13,NG,1665435344
pisco,-13.7,-76.2167,68.05,60,0,17.27,PE,1665435590
berlevag,70.8578,29.0864,41,75,0,6.91,NO,1665435613
bajos de haina,18.4154,-70.0332,81.5,79,11,8.23,DO,1665435624
guerrero negro,27.9769,-114.0611,75.69,67,16,14.16,MX,1665435634
margate,51.3813,1.3862,54.7,69,5,4,GB,1665435486
george,-33.963,22.4617,62.15,82,100,11.5,ZA,1665435538
pizarro,4.9533,-77.366,77,90,100,6.08,CO,1665435644
tahe,52.3333,124.7333,28.6,80,3,3.24,CN,1665435650
camalu,30.85,-116.0667,72.99,72,17,11.5,MX,1665435667
riyadh,24.6877,46.7219,82.69,13,3,6.96,SA,1665435631
ewo,-0.8725,14.8206,73.58,89,99,3.02,CG,1665435678
mahon,39.8885,4.2658,68.56,88,20,5.75,ES,1665435406
shakawe,-18.3667,21.85,74.25,14,6,8.12,BW,1665435679
aden,12.7794,45.0367,84.38,66,72,14.27,YE,1665435680
great yarmouth,52.6083,1.7305,49.41,68,3,9.69,GB,1665435680
port hedland,-20.3167,118.5667,71.65,78,4,10.36,AU,1665435681
walvis bay,-22.9575,14.5053,60.1,85,97,1.92,NA,1665435659
lasa,46.6166,10.7002,51.37,88,84,3.2,IT,1665435712
severo-kurilsk,50.6789,156.125,46.53,84,100,12.5,RU,1665435682
kailua,21.4022,-157.7394,86.07,75,6,4.25,US,1665435713
slave lake,55.2834,-114.769,58.98,63,75,35.68,CA,1665435714
vestmannaeyjar,63.4427,-20.2734,38.82,58,96,3.09,IS,1665435716
yeppoon,-23.1333,150.7333,64.18,81,97,18.05,AU,1665435722
ashland,40.8167,-82.2665,70.16,44,0,7.34,US,1665435735
port moresby,-9.4431,147.1797,77.58,83,28,4,PG,1665435745
dubbo,-32.25,148.6167,53.73,82,100,12.66,AU,1665435746
tabou,4.423,-7.3528,77.27,89,81,6.29,CI,1665435748
poum,-20.2333,164.0167,77.18,74,100,22.95,NC,1665435749
fukue,32.6881,128.8419,64.22,65,100,21.25,JP,1665435749
kavaratti,10.5669,72.642,80.49,79,95,10.42,IN,1665435749
biak,-0.9131,122.8766,75.72,84,100,2.33,ID,1665435750
vila franca do campo,37.7167,-25.4333,75.2,92,29,4.05,PT,1665435751
bandiagara,14.3501,-3.6104,90.09,28,6,7.56,ML,1665435781
katherine,-14.4667,132.2667,73.72,56,16,4.61,AU,1665435782
lovozero,68.005,35.0117,35.94,90,64,1.7,RU,1665435782
puerto del rosario,28.5004,-13.8627,73.15,73,40,13.8,ES,1665435677
mandalgovi,45.7625,106.2708,32.95,28,44,2.64,MN,1665435785
jos,9.9167,8.9,68.05,63,37,2.93,NG,1665435756
yichun,47.7,128.9,27.14,70,1,4.05,CN,1665435815
merrill,45.1805,-89.6835,64.17,52,0,6.91,US,1665435816
pontes e lacerda,-15.2261,-59.3353,83.55,58,72,4,BR,1665435816
morgan city,29.6994,-91.2068,84.99,39,0,6.91,US,1665435816
kalush,49.0119,24.3731,42.06,81,0,5.97,UA,1665435817
palana,59.1167,159.9667,35.92,74,100,26.26,RU,1665435817
keetmanshoop,-26.5833,18.1333,82.02,15,89,2.48,NA,1665435817
colares,38.7992,-9.4469,67.33,97,6,17,PT,1665435820
nemuro,43.3236,145.575,59.68,88,100,14.16,JP,1665435849
hvolsvollur,63.7533,-20.2243,32.86,70,100,3.36,IS,1665435849
kumluca,36.3703,30.2869,72.37,56,0,4.63,TR,1665435850
champerico,14.3,-91.9167,75.61,91,100,5.66,GT,1665435850
mpanda,-6.3655,31.0409,75.99,37,99,0.98,TZ,1665435853
callaway,30.153,-85.5699,85.91,30,0,7,US,1665435853
mana,5.6592,-53.7767,79.38,89,17,8.05,GF,1665435855
kokopo,-4.352,152.2633,77.77,67,10,3.89,PG,1665435856
dingle,10.9995,122.6711,74.57,91,50,1.1,PH,1665435857
bilma,18.6853,12.9164,83.89,18,0,3.96,NE,1665435858
mehamn,71.0357,27.8492,40.95,75,0,5.75,NO,1665435859
ponta do sol,32.6667,-17.1,74.01,73,58,6.87,PT,1665435860
omsukchan,62.5333,155.8,2.98,94,79,4.97,RU,1665435861
manzhouli,49.6,117.4333,34.45,35,52,3.33,CN,1665435862
egvekinot,66.3167,-179.1667,14.16,68,51,6.29,RU,1665435864
cacu,-18.5567,-51.1308,71.37,82,100,4.12,BR,1665435864
maputo,-25.9653,32.5892,74.88,83,75,4.61,MZ,1665435675
chake chake,-5.2459,39.7666,73.17,81,33,10.22,TZ,1665435866
hamilton,39.1834,-84.5333,75.07,37,0,9.22,US,1665435867
flin flon,54.7682,-101.865,69.1,36,0,11.79,CA,1665435868
feijo,-8.1642,-70.3536,87.26,51,93,2.57,BR,1665435869
balikpapan,-1.2675,116.8289,76.19,100,40,5.75,ID,1665435870
hirara,24.8,125.2833,76.05,65,100,29.68,JP,1665435871
norman wells,65.282,-126.8329,32.83,92,100,29.06,CA,1665435872
sitka,57.0531,-135.33,51.69,71,100,3.44,US,1665435878
great falls,47.5002,-111.3008,74.59,28,0,26.46,US,1665435880
southampton,50.904,-1.4043,52.86,77,2,1.99,GB,1665435781
cap malheureux,-19.9842,57.6142,69.48,74,13,3,MU,1665435675
houma,29.5958,-90.7195,82,43,0,10.36,US,1665435883
valdez,1.2492,-78.9831,78.06,79,100,11.95,EC,1665435883
porto velho,-8.7619,-63.9039,82.45,65,40,9.22,BR,1665435849
waipawa,-41.4122,175.5153,54.66,80,100,17.38,NZ,1665435884
teocaltiche,21.4333,-102.5833,74.71,39,15,4.61,MX,1665435885
leningradskiy,69.3833,178.4167,21.33,70,100,21.23,RU,1665435885
urucui,-7.2294,-44.5561,92.46,22,79,6.62,BR,1665435886
pitanga,-24.7572,-51.7614,63.48,99,100,5.46,BR,1665435886
nishihara,26.1842,127.7558,72.68,62,40,17.27,JP,1665435890
colac,-38.3333,143.5833,53.83,75,100,5.28,AU,1665435891
zaraza,9.3503,-65.3245,82.96,73,100,2.59,VE,1665435892
narragansett,41.4501,-71.4495,65.71,69,0,6.91,US,1665435894
puerto madryn,-42.7692,-65.0385,66.72,26,4,21.79,AR,1665435895
uitenhage,-33.7576,25.3971,70.41,80,100,4.59,ZA,1665435896
luang prabang,19.8856,102.1347,65.55,97,76,1.61,LA,1665435686
oussouye,12.485,-16.5469,79.75,80,38,2.98,SN,1665435898
kununurra,-15.7667,128.7333,75.18,78,9,1.14,AU,1665435902
ahipara,-35.1667,173.1667,62.94,64,57,3.27,NZ,1665435903
rio gallegos,-51.6226,-69.2181,60.85,18,20,23.02,AR,1665435904
santiago del estero,-27.7951,-64.2615,75.65,17,2,9.06,AR,1665435677
macau,22.2006,113.5461,73.13,46,0,19.57,MO,1665435907
